code,name,description,category,url,public-database
DK-CVR,,,DK,https://datacvr.virk.dk/data/,False
DM-COA,,,DM,https://gov-id-finder.codeforiati.org/countries/DM/,False
DO-COA,,,DO,https://gov-id-finder.codeforiati.org/countries/DO/,False
DZ-COA,,,DZ,https://gov-id-finder.codeforiati.org/countries/DZ/,False
EC-COA,,,EC,https://gov-id-finder.codeforiati.org/countries/EC/,False
EC-RUC,,,EC,http://www.sri.gob.ec/web/guest/RUC,True
EE-COA,,,EE,https://gov-id-finder.codeforiati.org/countries/EE/,False
EE-KMKR,,,EE,http://www.rik.ee/en/e-business-register,True
EE-RIK,,,EE,http://www.rik.ee/en/e-business-register,False
EG-COA,,,EG,https://gov-id-finder.codeforiati.org/countries/EG/,False
EG-CR,,,EG,http://itda.gov.eg/,True
EG-MOSS,,,EG,http://www.moss.gov.eg/,False
EH-COA,,,EH,https://gov-id-finder.codeforiati.org/countries/EH/,False
ER-COA,,,ER,https://gov-id-finder.codeforiati.org/countries/ER/,False
ES-COA,,,ES,https://gov-id-finder.codeforiati.org/countries/ES/,False
ES-DIR3,,,ES,http://administracionelectronica.gob.es/ctt/dir3/descargas,False
ES-MDJ,,,ES,https://www.mjusticia.gob.es/ca/ciudadania/registros,True
ES-NIF,,,ES,http://www.agenciatributaria.es/AEAT.internet/en_gb/Inicio/La_Agencia_Tributaria/Campanas/Censos__NIF_y_domicilio_fiscal/Empresas_y_profesionales__Declaracion_censal__Modelos_036_y_037/Informacion/NIF_de_personas_juridicas_y_entidades.shtml,False
ES-RMC,,,ES,http://www.rmc.es/Home.aspx,True
ET-COA,,,ET,https://gov-id-finder.codeforiati.org/countries/ET/,True
ET-CSA,,,ET,http://www.chsa.gov.et/,False
ET-MFA,,,ET,http://www.mfa.gov.et/,False
ET-MOT,,,ET,http://www.mot.gov.et,False
FI-COA,,,FI,https://gov-id-finder.codeforiati.org/countries/FI/,False
FI-PRO,,,FI,http://www.prh.fi/en/index.html,True
FI-VERO,,,FI,https://www.ytj.fi/en/index/vatnumber.html,True
FJ-COA,,,FJ,https://gov-id-finder.codeforiati.org/countries/FJ/,False
FK-COA,,,FK,https://gov-id-finder.codeforiati.org/countries/FK/,False
FM-COA,,,FM,https://gov-id-finder.codeforiati.org/countries/FM/,False
FO-COA,,,FO,https://gov-id-finder.codeforiati.org/countries/FO/,False
FR-COA,,,FR,https://gov-id-finder.codeforiati.org/countries/FR/,False
FR-INSEE,,,FR,http://www.insee.fr/fr/service/default.asp?page=entreprises/entreprise.htm,False
FR-RCS,,,FR,http://www.infogreffe.fr,False
GA-COA,,,GA,https://gov-id-finder.codeforiati.org/countries/GA/,False
GB-CASC,,,GB,https://github.com/ThreeSixtyGiving/cascs/blob/master/readme.md,True
GB-CHC,,,GB,https://www.gov.uk/government/organisations/charity-commission,True
GB-COA,,,GB,https://gov-id-finder.codeforiati.org/countries/GB/,False
GB-COE,,,GB,https://facultyonline.churchofengland.org/churches,True
GB-COH,,,GB,http://www.companieshouse.gov.uk/,True
GB-EDU,,,GB,https://get-information-schools.service.gov.uk,True
GB-GOR,,,GB,https://github.com/openregister/registers-data-archive,True
GB-GOV,,,GB,http://data.gov.uk/dataset/iati-organisation-identifier-for-uk-government-bodies,False
GB-GOVUK,,,GB,https://www.gov.uk/government/organisations,False
GB-HESA,,,GB,https://www.hesa.ac.uk/support/providers,True
GB-IRN,,,GB,https://www.education-ni.gov.uk/services/schools-plus,True
GB-LAE,,,GB,https://local-authority-eng.register.gov.uk/records?page-index=1&page-size=5000,True
